,Dependent_count,Months_on_book (Length of relationship with bansk[months]),Total_Relationship_Count (How many products with customer) ,Months_Inactive_12_mon (Card not used),Contacts_Count_12_mon (Number of contacts in 12 months),Credit_Limit,Total_Revolving_Bal (Balance unpaid at month end),Total_Amt_Chng_Q4_Q1(Ratio Q4/Q1),Total_Trans_Ct (Transaction Count 12 months),Total_Ct_Chng_Q4_Q1 (Change in the transaction amount Q4/Q1),Avg_Utilization_Ratio (Credit usage/Total Credit available),Gender_code,Education_Level_code,Marital_Status_code,Income_Category_code,Card_Category_code
598,1,36,4,1,3,1438.3,361,0.963,22,0.692,0.251,0,6,1,4,0
2123,1,49,4,2,2,3143.0,2517,0.625,25,0.923,0.801,0,2,1,4,0
7635,1,44,5,3,1,17827.0,0,0.846,88,0.725,0.0,1,6,2,0,0
9130,4,27,1,2,2,8837.0,2517,0.618,100,0.754,0.285,0,4,2,4,0
7248,1,40,5,3,2,1438.3,908,0.615,74,0.897,0.631,0,1,2,4,0
9784,0,52,1,2,2,14458.0,2017,0.99,72,0.895,0.14,1,5,2,1,0
2197,3,33,6,1,4,5246.0,0,0.969,56,0.556,0.0,1,0,2,2,0
4051,2,43,6,2,3,2124.0,1426,0.966,52,0.733,0.671,0,5,1,4,0
7461,4,36,2,2,4,5021.0,2517,0.587,40,0.481,0.501,0,2,1,4,0
3362,5,36,1,3,3,24657.0,633,0.358,46,0.394,0.026,1,2,2,2,0
7046,3,33,4,5,2,2990.0,890,0.711,79,0.837,0.298,0,5,1,4,0
725,2,36,6,3,3,2243.0,1418,0.39,31,0.409,0.632,1,6,2,2,0
7303,4,27,4,3,2,22863.0,927,0.569,69,0.725,0.041,1,6,3,3,0
978,5,40,3,3,1,1438.3,0,1.23,31,0.107,0.0,1,3,3,2,0
808,0,21,3,3,0,2158.0,1729,1.1,42,0.448,0.801,1,2,1,1,0
5211,2,38,3,4,2,1438.3,0,0.584,79,0.612,0.0,0,2,1,4,0
1475,3,36,3,2,3,3404.0,1568,1.055,65,0.857,0.461,1,3,0,0,0
6107,2,37,4,2,1,3378.0,0,0.58,81,0.884,0.0,0,2,1,4,0
9155,3,33,1,3,1,34516.0,975,0.738,104,0.552,0.028,1,2,0,3,0
7541,4,36,6,3,1,3021.0,1530,0.731,76,0.767,0.506,0,2,1,4,0
3962,3,31,5,3,3,9949.0,1597,0.659,83,0.596,0.161,1,3,2,1,0
8910,3,32,1,2,1,7926.0,1051,0.729,87,0.554,0.133,0,0,2,4,0
5920,3,23,6,2,2,12559.0,0,0.715,71,0.511,0.0,1,6,2,3,0
1235,5,39,3,3,4,7128.0,1560,0.573,44,0.76,0.219,0,2,1,4,0
1225,0,36,3,2,2,2798.0,1806,0.765,35,0.591,0.645,0,3,1,4,0
8184,3,36,2,1,3,1853.0,1314,0.925,79,0.612,0.709,0,6,2,4,0
6453,4,36,5,2,1,15100.0,2004,0.9,76,0.689,0.133,1,6,2,2,0
8435,5,49,2,3,2,1476.0,0,0.699,75,0.786,0.0,0,6,2,4,0
5235,0,51,6,1,2,2230.0,1796,0.637,61,0.488,0.805,0,2,1,4,0
4829,3,36,3,3,4,10111.0,868,0.748,68,0.889,0.086,1,3,2,3,0
3217,3,32,4,1,3,28397.0,1421,0.635,31,0.824,0.05,1,0,2,2,3
287,4,36,6,3,2,3342.0,2517,0.771,30,0.765,0.753,0,2,2,4,0
5165,4,36,3,2,4,12405.0,0,0.949,39,0.444,0.0,0,3,2,5,0
2966,0,54,4,1,0,2759.0,2501,0.505,34,0.7,0.906,1,6,1,2,0
3164,2,43,4,3,3,11617.0,2517,0.457,43,0.483,0.217,1,3,2,3,0
6178,2,27,3,1,2,4009.0,1361,0.886,80,0.86,0.339,0,3,1,5,0
9005,2,36,1,3,1,8014.0,1250,0.667,84,0.585,0.156,1,6,1,2,0
1657,1,47,4,3,2,5015.0,2053,0.442,29,0.381,0.409,0,2,1,1,0
1975,2,36,6,3,3,7327.0,0,0.857,46,0.586,0.0,1,6,2,1,0
2397,3,23,3,3,4,3073.0,526,0.702,55,0.618,0.171,0,3,1,4,0
452,1,36,6,1,3,11213.0,0,0.563,23,0.643,0.0,0,6,2,1,0
2710,2,45,3,2,3,5920.0,1589,0.512,28,0.273,0.268,1,3,1,3,0
4828,4,35,4,2,4,1438.3,0,0.571,69,0.816,0.0,0,2,3,4,0
3681,4,34,5,3,2,1874.0,1341,0.952,70,0.75,0.716,0,6,3,4,0
422,0,36,6,2,3,2567.0,0,1.636,43,0.955,0.0,1,3,1,2,0
6227,2,28,6,1,2,2169.0,1602,0.668,78,0.814,0.739,0,6,3,4,0
657,2,36,5,1,3,7151.0,800,0.986,22,0.375,0.112,0,6,1,4,0
3301,5,30,3,2,2,1659.0,0,0.585,66,0.692,0.0,1,4,2,2,0
7480,3,29,4,3,1,5716.0,623,0.673,79,0.881,0.109,0,0,2,4,0
2845,1,36,6,1,1,22125.0,0,0.645,57,0.727,0.0,0,0,2,5,0
9365,3,36,1,4,2,34516.0,1823,1.062,108,0.831,0.053,1,2,1,0,1
7706,2,45,5,1,0,1757.0,0,0.533,82,0.547,0.0,0,6,2,4,0
1001,3,36,5,3,2,2607.0,1880,1.464,39,0.95,0.721,1,3,1,3,0
4198,4,28,6,1,3,8757.0,0,0.507,47,0.516,0.0,1,6,0,3,0
2418,2,41,3,3,2,3150.0,1543,0.998,71,0.972,0.49,1,3,2,1,0
7690,3,27,6,2,2,2425.0,1396,0.899,74,0.897,0.576,0,2,1,5,0
8043,3,38,1,3,2,4095.0,2517,0.57,77,1.026,0.615,0,5,1,4,0
3847,2,36,4,3,2,10816.0,871,0.606,68,0.581,0.081,1,3,1,0,0
961,2,33,6,2,2,19715.0,1014,1.437,40,0.667,0.051,1,6,3,0,0
1580,2,44,3,4,4,6256.0,1530,0.647,43,0.344,0.245,0,2,1,4,0
9773,1,13,2,2,3,3533.0,1206,0.859,120,0.579,0.341,0,6,0,4,0
2206,2,22,4,3,3,2544.0,1848,0.804,49,0.441,0.726,0,3,1,4,0
6496,2,41,5,3,2,2555.0,1815,0.847,75,0.829,0.71,0,6,2,4,0
7383,2,35,3,1,1,1755.0,1058,0.697,90,0.8,0.603,0,2,1,5,0
4231,3,28,5,3,3,11155.0,1583,1.061,60,0.765,0.142,0,2,1,1,0
757,2,24,2,3,3,14447.0,0,0.856,29,2.222,0.0,1,5,1,2,0
2284,0,13,1,2,4,6152.0,0,0.391,23,0.533,0.0,0,3,2,5,0
6854,1,49,5,4,1,2481.0,1925,0.723,73,0.78,0.776,0,3,2,4,0
4890,0,56,4,1,3,4783.0,2517,1.024,50,1.174,0.526,1,1,2,2,0
4827,4,39,4,2,3,5095.0,0,0.729,89,0.508,0.0,0,2,1,4,0
7792,3,34,2,3,2,2976.0,2372,0.772,83,0.729,0.797,0,3,2,4,0
807,1,40,4,1,1,5158.0,2190,0.426,34,0.478,0.425,0,3,1,4,0
6101,2,45,5,2,1,1438.3,0,0.913,77,0.571,0.0,1,2,1,1,0
7931,3,37,1,3,2,2449.0,0,0.706,88,0.63,0.0,1,0,0,1,0
1956,1,18,5,1,3,4726.0,1380,0.622,31,0.55,0.292,1,6,1,1,0
2445,3,19,3,3,4,2186.0,1185,0.998,67,0.861,0.542,1,5,2,1,0
6648,3,42,3,3,2,31636.0,2517,0.718,68,1.061,0.08,1,2,2,0,0
8284,4,40,1,2,1,1795.0,1058,0.778,73,0.738,0.589,0,0,3,4,0
6597,2,36,3,0,1,2712.0,1445,0.819,79,0.881,0.533,0,4,1,4,0
2402,3,25,5,1,4,9859.0,1305,0.722,72,0.674,0.132,1,3,2,2,0
1073,1,43,3,1,3,3368.0,844,0.838,59,0.686,0.251,0,4,1,4,0
7550,1,39,4,3,4,24462.0,946,0.475,37,0.542,0.039,1,6,1,3,0
4240,2,36,4,3,1,3989.0,2514,0.469,82,0.519,0.63,1,3,1,3,0
8620,3,28,2,2,3,13452.0,2517,0.781,69,0.917,0.187,1,3,1,2,0
2091,1,36,3,2,3,15124.0,1974,0.826,44,0.571,0.131,1,2,1,2,0
4527,2,42,6,3,2,2760.0,0,0.576,34,0.214,0.0,1,1,2,1,0
7406,3,47,4,4,2,2577.0,879,0.74,75,0.744,0.341,0,2,1,4,0
9269,3,27,1,2,3,14382.0,1950,0.578,131,0.819,0.136,1,3,1,1,0
7441,4,39,4,1,3,1438.3,0,0.68,83,1.128,0.0,0,0,3,1,0
7630,1,26,5,2,1,11726.0,1925,0.855,63,0.703,0.164,1,3,1,0,0
6887,4,26,3,1,1,2972.0,0,0.593,69,0.769,0.0,0,0,1,4,0
7335,2,36,6,4,2,2804.0,1782,0.698,69,0.605,0.636,0,2,1,1,0
1003,3,30,6,2,2,3730.0,2517,0.853,22,0.467,0.675,0,6,2,4,0
9219,4,36,2,2,1,3600.0,2072,0.94,116,0.966,0.576,0,3,1,4,0
6752,3,30,5,2,2,8793.0,918,0.471,64,0.684,0.104,0,3,3,4,0
7093,2,47,5,2,3,3069.0,2517,0.73,83,0.766,0.82,0,3,2,4,0
4651,4,38,5,1,2,2510.0,1508,0.728,63,0.853,0.601,1,6,1,3,0
7724,3,22,2,2,1,3224.0,0,0.761,63,0.658,0.0,1,6,1,3,0
1485,1,20,6,3,4,13046.0,1177,1.214,52,0.733,0.09,1,4,1,3,0
7816,4,38,3,3,3,3897.0,2296,0.746,77,0.791,0.589,0,2,2,1,0
1411,0,53,6,1,4,12554.0,2169,0.529,30,0.579,0.173,1,2,1,2,0
9553,2,20,2,3,3,34516.0,2136,0.849,119,0.75,0.062,1,5,2,3,3
5860,2,31,6,1,1,2837.0,1807,0.609,83,0.627,0.637,0,4,1,4,0
709,5,25,6,2,3,7860.0,541,0.764,35,0.75,0.069,1,2,3,1,0
5217,3,36,4,3,3,2705.0,1681,0.577,87,0.776,0.621,0,2,3,4,0
3603,1,36,6,1,3,12590.0,931,1.068,78,0.696,0.074,0,5,3,4,3
7415,0,38,4,3,3,2595.0,2353,0.924,41,0.577,0.907,0,1,2,4,0
3076,3,33,4,1,4,17087.0,0,0.761,70,0.591,0.0,1,6,2,0,0
7066,4,41,6,3,3,23209.0,1308,0.498,71,0.578,0.056,1,3,1,3,0
4101,2,36,5,2,2,2494.0,1492,0.744,61,0.694,0.598,1,2,1,1,0
9287,4,44,2,3,3,12174.0,1361,1.048,121,0.729,0.112,1,6,1,3,0
2722,0,42,5,3,2,9706.0,1968,1.022,58,0.706,0.203,1,0,0,4,0
9479,0,47,1,2,2,9634.0,2076,0.876,102,0.759,0.215,0,5,2,4,0
1268,2,43,1,3,3,5701.0,2517,0.716,32,0.524,0.442,1,5,1,3,0
2462,1,25,4,3,4,5865.0,2517,1.348,47,1.35,0.429,0,3,1,1,0
6575,3,36,3,2,2,23512.0,1562,0.632,60,0.538,0.066,1,5,1,3,0
268,0,53,1,3,3,3353.0,0,1.021,18,0.385,0.0,0,3,1,1,0
3580,4,39,3,3,3,2680.0,1652,1.132,58,0.758,0.616,0,5,1,1,0
4750,5,33,4,1,3,3135.0,0,0.572,68,0.7,0.0,1,5,2,2,0
5505,4,21,6,3,2,9005.0,1994,0.919,89,0.712,0.221,0,5,2,5,0
8736,3,36,4,2,3,3138.0,986,1.002,56,0.806,0.314,0,2,2,4,0
5306,5,38,6,2,2,1438.3,604,0.771,85,0.932,0.42,0,2,2,4,0
6791,3,36,6,5,3,2420.0,1223,0.718,82,0.783,0.505,0,2,1,4,0
2821,0,56,4,2,1,2692.0,1869,0.744,36,0.895,0.694,0,2,1,1,0
5593,3,35,4,3,1,3390.0,2180,0.877,78,0.95,0.643,0,2,1,4,0
589,4,40,3,1,1,8714.0,2252,0.831,38,0.652,0.258,1,5,1,3,0
6128,3,36,3,3,2,2608.0,1804,0.847,61,0.694,0.692,0,3,3,4,0
8957,2,40,2,1,1,3449.0,1634,0.776,94,0.469,0.474,0,1,2,4,0
7523,2,37,5,2,3,5562.0,1556,0.751,76,0.767,0.28,0,2,3,1,0
7866,1,36,2,2,2,1671.0,1047,0.727,79,0.795,0.627,0,0,1,4,0
8046,2,42,1,2,2,2205.0,1313,0.929,82,0.673,0.595,0,3,2,1,0
8206,3,36,1,1,1,3173.0,1822,0.801,71,0.614,0.574,0,3,1,4,0
6486,3,32,3,1,3,12219.0,1462,0.558,69,0.605,0.12,1,6,1,1,0
2028,3,39,5,4,1,2551.0,2253,0.688,63,0.909,0.883,0,5,2,4,0
7013,3,36,4,1,3,2069.0,1028,0.648,82,0.783,0.497,0,2,2,4,0
677,3,42,1,1,3,9959.0,0,0.688,24,0.143,0.0,1,3,1,3,0
5927,3,44,5,1,2,3881.0,0,0.601,66,0.737,0.0,0,3,1,1,0
1232,1,50,5,3,2,6978.0,1148,1.645,26,1.0,0.165,1,5,1,3,0
6343,4,36,4,5,0,13407.0,1341,0.928,84,0.615,0.1,1,3,2,2,0
7306,3,31,3,3,2,1438.3,913,0.981,68,0.619,0.635,0,3,2,1,0
7588,3,30,4,2,2,17890.0,2517,0.983,81,0.8,0.141,1,4,2,3,0
4856,3,44,3,3,3,11606.0,0,0.797,39,0.393,0.0,1,5,1,3,0
5608,2,29,5,3,2,1438.3,722,0.894,53,1.12,0.502,0,0,1,1,0
2432,1,37,4,2,3,25517.0,321,0.769,44,0.294,0.013,1,2,1,3,0
6503,3,42,5,2,3,2608.0,2455,0.886,85,0.889,0.941,0,2,2,4,0
8119,1,36,1,1,3,4517.0,2238,0.625,81,0.761,0.495,0,3,2,4,0
6213,1,26,5,2,4,3554.0,0,0.782,44,0.63,0.0,0,3,2,4,0
6419,1,28,5,2,3,3680.0,0,0.729,41,0.577,0.0,0,5,1,4,0
896,1,25,6,1,2,23991.0,2307,0.912,43,0.72,0.096,1,3,1,3,0
1611,3,26,6,1,3,3187.0,2517,1.214,33,0.833,0.79,0,5,1,4,0
6664,3,36,6,4,3,1438.3,0,0.747,38,0.583,0.0,0,5,1,1,0
6571,2,36,6,3,3,1731.0,0,0.529,46,1.0,0.0,0,6,2,4,0
9653,1,47,2,3,1,3845.0,1460,0.857,106,0.828,0.38,0,3,1,4,0
3806,4,35,3,4,3,7015.0,0,0.456,51,0.645,0.0,1,2,2,0,0
6466,1,29,3,2,2,2506.0,1362,0.844,82,0.745,0.543,0,3,2,4,0
6825,4,24,6,1,1,6475.0,1686,0.699,65,0.667,0.26,0,2,2,1,0
4701,3,48,5,3,4,20974.0,0,0.0,27,0.0,0.0,1,5,2,0,0
3961,4,35,6,3,2,2005.0,1143,0.824,70,0.591,0.57,0,2,2,4,0
5573,3,46,3,3,3,2700.0,1623,0.848,78,0.814,0.601,0,6,2,4,0
890,0,13,5,1,2,7772.0,1890,0.754,75,0.829,0.243,0,2,0,5,0
6121,2,28,5,1,3,4693.0,634,0.909,79,0.837,0.135,0,0,1,5,0
8956,3,36,2,1,2,2166.0,1458,0.712,109,0.535,0.673,0,2,2,4,0
7065,0,56,2,6,2,3477.0,0,0.436,40,0.739,0.0,1,0,3,1,0
6378,1,28,3,1,2,15713.0,1387,0.904,61,0.605,0.088,0,3,1,1,3
7129,3,36,5,4,3,1681.0,0,0.994,82,0.952,0.0,1,3,1,3,0
8824,1,24,2,3,2,15987.0,1992,0.739,81,0.841,0.125,0,1,3,4,1
2799,3,23,5,6,1,12315.0,0,0.895,51,0.545,0.0,1,3,1,3,0
584,2,38,3,1,2,2736.0,1822,0.593,25,0.923,0.666,1,3,1,2,0
3268,3,35,3,3,4,11851.0,0,0.43,73,0.622,0.0,1,3,2,3,0
3932,4,35,6,3,3,11096.0,0,0.881,69,0.683,0.0,1,2,2,3,0
1260,0,36,5,3,3,3930.0,0,0.758,42,0.355,0.0,0,2,2,1,0
6111,1,36,1,2,3,1462.0,0,0.393,36,0.161,0.0,0,2,1,4,0
310,2,36,2,2,2,5007.0,930,0.885,28,1.154,0.186,1,3,1,1,0
8003,4,44,1,2,1,2638.0,1423,0.551,77,0.925,0.539,0,2,2,4,0
8039,4,23,1,3,2,1811.0,0,0.835,70,0.628,0.0,0,2,2,5,0
6390,1,52,6,3,3,2308.0,2094,0.722,77,0.75,0.907,0,6,1,4,0
6157,2,41,5,3,1,2289.0,1611,0.648,77,0.75,0.704,0,6,2,4,0
4668,1,41,6,2,4,3001.0,482,0.814,42,0.615,0.161,0,2,2,4,0
4298,3,45,2,2,5,21096.0,0,0.637,39,0.345,0.0,1,5,1,2,0
3783,2,46,5,2,2,5443.0,1889,0.421,64,0.6,0.347,0,6,2,4,0
1008,1,30,3,2,3,2917.0,1357,1.593,46,0.438,0.465,0,2,1,5,0
8461,1,25,1,2,3,2835.0,2511,0.731,77,0.925,0.886,0,1,2,4,0
2185,2,22,3,3,5,4739.0,0,0.363,21,0.4,0.0,1,2,1,1,0
3623,2,31,4,2,2,3604.0,0,0.934,65,0.667,0.0,0,6,1,5,0
7238,3,30,3,3,2,2023.0,1331,0.624,79,0.681,0.658,0,0,2,4,0
5062,5,36,6,3,1,1438.3,0,0.813,78,0.95,0.0,0,5,2,4,0
9796,5,45,6,3,6,34516.0,0,0.757,91,1.022,0.0,1,2,0,0,0
5702,3,44,5,5,3,2421.0,2312,0.674,69,0.605,0.955,0,2,1,4,0
4834,1,36,6,2,3,6622.0,2126,1.041,60,0.818,0.321,0,2,2,5,0
6147,4,30,3,1,3,5869.0,0,0.852,83,0.844,0.0,0,3,1,5,0
4756,3,27,6,3,3,3901.0,1001,0.822,72,1.323,0.257,0,2,2,4,0
6853,4,28,6,2,2,1438.3,689,0.823,65,0.806,0.479,0,2,1,4,0
90,2,36,3,2,2,9930.0,0,0.731,21,1.333,0.0,0,3,2,4,0
6148,2,24,6,2,2,1438.3,0,0.827,82,0.952,0.0,0,5,2,4,0
6605,2,37,3,0,1,4254.0,1204,0.538,93,0.691,0.283,0,1,2,4,0
7770,2,24,2,2,3,1649.0,0,0.864,51,0.7,0.0,1,5,2,5,0
8121,3,42,2,3,3,2510.0,1928,1.043,70,0.489,0.768,0,5,2,4,0
2117,2,27,4,2,1,12702.0,2008,0.51,40,0.667,0.158,1,2,1,3,0
2937,1,40,6,2,2,2319.0,1630,0.846,68,0.659,0.703,1,3,2,2,0
6872,4,46,3,3,3,3231.0,2215,0.515,90,0.607,0.686,0,2,2,4,0
983,2,38,4,3,0,2888.0,2245,0.772,26,0.368,0.777,0,2,1,4,0
8790,5,36,2,3,1,5496.0,1816,0.678,93,0.603,0.33,0,2,3,5,0
5466,2,45,4,2,2,22294.0,0,0.647,71,0.614,0.0,1,4,2,0,0
2925,3,31,5,2,4,4736.0,945,0.835,73,0.659,0.2,0,3,1,4,0
9573,1,48,2,3,2,20724.0,2221,0.769,109,0.703,0.107,1,2,1,2,0
3214,2,39,3,2,3,1629.0,978,0.552,83,0.694,0.6,1,6,2,2,0
9529,3,42,2,1,1,9742.0,2517,0.692,92,0.804,0.258,0,6,3,1,0
8813,2,42,2,3,3,34516.0,2517,0.759,85,0.635,0.073,1,2,1,3,3
7236,1,36,4,2,2,2358.0,1965,0.614,80,0.6,0.833,0,2,2,1,0
9060,1,54,1,3,1,5182.0,1459,0.72,112,0.697,0.282,1,5,2,3,0
627,3,25,6,3,2,3083.0,1040,0.729,78,0.56,0.337,0,0,3,4,0
4947,4,41,5,2,3,15594.0,0,0.631,75,0.786,0.0,1,0,2,2,0
4244,3,36,4,3,4,5993.0,1582,0.44,64,0.684,0.264,1,6,1,2,0
5272,1,36,4,3,2,1438.3,544,0.543,40,0.739,0.378,0,3,2,4,0
4765,1,37,6,3,3,2707.0,1367,0.794,73,0.78,0.505,0,1,0,4,0
1601,0,36,3,1,2,5335.0,1206,0.69,49,0.75,0.226,1,1,1,2,0
9717,3,36,3,3,3,9267.0,0,0.866,90,1.093,0.0,1,5,2,1,0
1269,3,32,5,6,3,3221.0,0,0.678,40,0.6,0.0,0,2,1,4,0
128,2,45,3,1,2,13532.0,1300,0.846,29,1.417,0.096,1,3,2,1,0
6054,4,26,5,2,2,1783.0,1282,0.504,76,0.617,0.719,0,2,2,4,0
1711,0,21,4,1,4,6315.0,1305,0.542,43,0.265,0.207,0,2,1,4,0
8076,1,44,2,4,4,1438.3,0,0.859,37,0.423,0.0,0,0,1,5,0
4235,4,34,5,3,2,12994.0,904,0.627,74,0.85,0.07,1,5,1,2,0
7887,4,32,2,1,1,5798.0,680,0.708,82,0.64,0.117,0,2,1,5,0
2398,3,27,6,3,3,34516.0,2315,0.599,46,0.704,0.067,1,0,1,0,3
6866,5,22,6,2,2,1438.3,0,0.56,81,1.025,0.0,1,3,2,1,0
10079,4,36,2,3,4,28564.0,2517,0.711,107,0.783,0.088,1,2,2,2,3
8535,0,40,1,3,3,2772.0,2414,0.805,68,1.194,0.871,0,5,1,1,0
1186,1,56,4,2,4,1438.3,0,0.693,35,0.591,0.0,0,3,1,1,0
6191,3,36,3,3,3,10960.0,1333,0.678,62,0.632,0.122,1,5,3,1,0
9917,2,20,4,2,4,4283.0,0,0.878,64,1.207,0.0,1,6,2,2,0
8075,0,42,1,4,4,9989.0,568,0.52,49,0.485,0.057,0,3,1,5,0
1977,0,18,4,3,2,2033.0,1471,0.672,55,0.41,0.724,0,5,2,1,0
10013,0,36,4,3,2,4353.0,1489,0.945,85,1.073,0.342,0,1,1,4,0
4247,3,32,5,3,0,2329.0,1465,0.815,86,0.72,0.629,0,6,2,4,0
7882,1,19,1,1,2,5559.0,1600,0.716,82,0.864,0.288,0,3,1,1,0
915,0,24,5,2,0,3735.0,1176,1.184,41,0.708,0.315,1,3,1,1,0
1305,0,54,3,3,4,1438.3,0,0.795,49,0.581,0.0,1,0,1,1,0
7194,4,35,6,2,1,2981.0,757,0.764,76,0.81,0.254,1,2,1,3,0
3049,3,35,2,2,6,34516.0,0,0.464,44,0.333,0.0,1,4,3,0,0
9643,2,41,3,1,3,7362.0,1176,0.735,130,0.688,0.16,0,2,1,1,0
1273,2,49,5,3,4,1438.3,0,0.77,38,0.81,0.0,1,4,1,2,0
8997,4,26,2,1,2,16950.0,0,0.625,97,0.672,0.0,0,3,3,5,0
2796,4,38,3,2,2,32658.0,1482,0.941,37,0.542,0.045,1,1,3,2,3
1398,0,46,6,1,3,5877.0,1697,1.058,58,0.706,0.289,0,3,1,1,0
3358,5,39,5,2,0,16034.0,1597,0.775,59,0.903,0.1,1,5,0,2,0
183,1,45,6,2,2,3380.0,1701,0.747,25,1.273,0.503,1,2,1,2,0
5198,4,36,3,3,1,2782.0,1782,0.853,93,0.755,0.641,0,2,0,5,0
5859,1,42,4,2,3,2012.0,1230,0.668,68,0.659,0.611,0,2,1,4,0
6301,0,36,4,3,4,1760.0,0,0.457,46,0.643,0.0,0,3,2,4,0
5470,3,32,3,2,4,4391.0,0,0.757,78,0.814,0.0,0,6,1,1,0
6634,3,27,5,2,3,10931.0,2297,0.639,73,0.872,0.21,1,2,0,1,0
7185,3,40,6,1,1,10879.0,860,0.974,69,0.725,0.079,1,6,1,3,0
4567,3,46,1,4,3,2016.0,395,0.711,44,0.571,0.196,0,2,1,4,0
8224,2,48,1,3,3,17999.0,1861,0.791,78,0.95,0.103,1,2,2,0,0
2656,1,36,4,1,0,25215.0,1445,1.033,48,1.0,0.057,1,0,1,3,0
8416,4,35,2,2,2,1438.3,0,0.802,74,1.114,0.0,0,0,1,5,0
7053,0,36,4,3,1,10457.0,2148,0.737,74,0.947,0.205,0,3,2,5,0
1961,1,28,4,3,3,34516.0,0,0.636,70,0.842,0.0,1,3,2,3,0
4992,3,17,3,1,3,1468.0,1074,0.697,32,0.524,0.732,0,6,1,4,0
4891,3,36,3,2,1,2589.0,1693,0.878,83,0.766,0.654,1,6,2,2,0
8408,3,35,1,4,3,2446.0,1899,0.714,87,0.74,0.776,0,5,2,5,0
8282,2,40,2,3,2,3698.0,0,0.811,82,0.864,0.0,0,2,1,4,0
10100,2,36,4,2,2,29808.0,0,0.669,128,0.684,0.0,1,2,3,2,3
1251,3,49,3,2,3,34516.0,0,1.203,24,0.263,0.0,1,0,2,0,0
3176,2,42,3,2,2,16727.0,1380,0.605,73,0.622,0.083,1,2,2,2,0
7974,3,36,2,3,3,2145.0,0,0.577,42,0.355,0.0,0,3,2,4,0
5155,1,32,5,3,3,1438.3,0,0.905,45,0.5,0.0,0,6,1,4,0
7545,2,40,4,5,3,3131.0,0,0.811,93,0.632,0.0,0,2,1,5,0
6729,2,35,6,1,3,2676.0,2157,0.901,69,0.605,0.806,1,2,2,1,0
3289,0,36,3,3,5,3812.0,2517,0.586,45,0.731,0.66,1,2,2,4,0
8159,4,45,2,2,3,9091.0,1306,0.743,86,0.654,0.144,0,2,2,5,0
8840,2,41,1,2,2,9298.0,1898,0.655,87,0.776,0.204,1,2,2,1,0
7820,3,36,3,1,2,3433.0,1869,0.838,84,0.787,0.544,0,2,1,1,0
6151,2,42,3,4,3,1694.0,0,0.354,41,0.519,0.0,0,1,2,4,0
8084,3,39,1,3,4,1632.0,0,0.621,47,0.424,0.0,0,6,2,4,0
1051,1,40,5,2,4,2178.0,1144,1.585,47,1.043,0.525,0,5,1,4,0
4069,2,45,5,2,2,2155.0,1219,0.805,77,0.791,0.566,0,6,2,4,0
6200,4,36,5,2,2,11536.0,2074,0.549,81,0.723,0.18,0,2,0,5,0
5712,4,33,3,2,2,3942.0,1711,0.61,71,0.614,0.434,0,3,2,4,0
272,0,45,6,2,2,2601.0,0,0.814,32,0.684,0.0,1,5,1,1,0
2042,2,43,4,4,4,15377.0,1516,0.627,49,1.042,0.099,1,2,1,2,0
4763,2,36,4,2,2,1438.3,904,0.761,79,0.837,0.629,0,3,1,4,0
6826,3,35,5,3,3,9949.0,0,0.574,40,0.481,0.0,1,1,0,3,0
6978,3,36,5,2,2,6114.0,1461,0.772,36,0.385,0.239,1,0,1,2,0
7628,4,36,3,2,2,1438.3,743,0.624,78,0.625,0.517,0,2,0,4,0
1086,4,31,4,3,4,34516.0,1197,0.669,43,1.15,0.035,1,6,1,0,0
5970,2,36,4,1,2,1801.0,940,0.594,74,0.721,0.522,0,1,3,4,0
6531,2,35,4,2,2,6205.0,2264,0.773,88,0.725,0.365,1,2,1,3,0
9778,0,51,2,3,3,6996.0,2092,0.794,120,0.765,0.299,0,5,1,4,0
9790,1,34,2,1,2,8507.0,1484,0.709,114,0.727,0.174,1,3,3,0,0
4322,4,36,4,1,2,2912.0,1501,0.825,90,0.875,0.515,1,2,1,4,0
7143,4,30,1,3,4,3356.0,2517,0.583,39,0.147,0.75,0,6,1,1,0
7960,3,41,1,3,2,2485.0,861,0.566,81,0.761,0.346,0,0,2,4,0
9903,1,44,3,3,3,22722.0,1790,0.813,121,0.754,0.079,1,2,2,1,1
7755,1,36,3,3,2,1795.0,0,0.718,55,0.618,0.0,0,3,2,4,0
5264,3,49,3,1,4,5668.0,2517,0.704,56,0.931,0.444,1,2,1,2,0
8088,3,38,2,2,3,3165.0,2517,0.748,49,1.042,0.795,0,2,3,4,0
4709,2,36,6,3,1,5370.0,653,0.782,81,0.929,0.122,0,2,3,1,0
8294,3,35,2,3,3,1706.0,0,0.726,42,0.448,0.0,0,5,2,5,0
8262,3,32,2,2,1,1438.3,894,0.762,85,0.932,0.622,0,5,2,4,0
9700,2,36,3,3,2,12933.0,2239,0.445,56,0.514,0.173,1,2,1,3,0
6977,2,39,3,3,3,4752.0,1400,0.646,54,1.16,0.295,1,2,1,4,0
3478,2,36,6,3,0,8026.0,2202,0.586,72,0.6,0.274,1,3,2,3,0
7318,3,40,4,1,3,3659.0,1356,0.715,74,0.762,0.371,0,1,2,1,0
3924,1,56,4,3,3,23566.0,1670,0.735,79,0.837,0.071,1,2,2,5,0
1748,1,13,5,2,2,4016.0,917,1.246,35,0.591,0.228,0,5,1,5,0
732,2,26,3,1,2,4531.0,1214,0.813,40,0.333,0.268,0,2,1,4,0
